Product,Revenue,Region,Month,Units
Laptop,45000,North,January,30
Phone,38000,South,January,95
Tablet,22000,East,January,55
Headphones,12000,West,January,120
Laptop,52000,North,February,35
Phone,41000,South,February,102
Tablet,19000,East,February,48
Headphones,15000,West,February,150
Laptop,48000,North,March,32
Phone,44000,South,March,110
Tablet,25000,East,March,63
Headphones,13500,West,March,135
Laptop,55000,North,April,37
Phone,39000,South,April,98
Tablet,21000,East,April,53
Headphones,16000,West,April,160
Laptop,60000,North,May,40
Phone,47000,South,May,118
Tablet,28000,East,May,70
Headphones,14000,West,May,140
